text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
RT @blaccpryde: @TheDemCoalition #Democrats know that the #Unemployment numbers don't include Black households. We risked our lives to vote…,FALSE,0,NA,2021-12-06 4:06:50,FALSE,NA,1467707077665693698,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",leislgirl,2,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #covid19 #corruption Wakey #science #sciencewins #India…,FALSE,0,NA,2021-12-06 4:06:34,FALSE,NA,1467707010825306118,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,5,TRUE,FALSE,NA,NA
@RobertGarcia @POTUS @VP @SpeakerPelosi Reparations for Black people! We will never forget! #BlackLivesMatter,FALSE,0,RobertGarcia,2021-12-06 4:06:10,FALSE,1467674288165580806,1467706909209907201,18120497,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",melmeldc,0,FALSE,FALSE,NA,NA
RT @IsStratkotter: This is day 591 of strikeing for #SaveCongoRainforest and #GlobalClimateJustice to say that #AfricaMatters #BlackLivesMa…,FALSE,0,NA,2021-12-06 4:05:59,FALSE,NA,1467706863533924356,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",endelstamberg,5,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…,FALSE,0,NA,2021-12-06 4:05:34,FALSE,NA,1467706757912965122,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,4,TRUE,FALSE,NA,NA
"RT @LMFireSystems1: Armed gang of black men stealing cars while people are shopping.  #Minneapolis #BackTheBlue #BlackLivesMatter 

 https:…",FALSE,0,NA,2021-12-06 4:05:28,FALSE,NA,1467706732965150726,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",poeticpotion111,12,TRUE,FALSE,NA,NA
RT @amiryogi: @janet_rice @ShoebridgeMLC @GreenPartyUS @greenparty_ie @democracynow @DrewPavlou @XunlingAu @YasminJUllah @mta_PH @MereTuila…,FALSE,0,NA,2021-12-06 4:05:20,FALSE,NA,1467706697833607169,NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",amiryogi,9,TRUE,FALSE,NA,NA
RT @ClareKuehn: #BlackLivesMatter #NickiMinaj #MAGA #2A #Alberta #Ontario #Toronto #health #covid19 #Covid_19 #cancer #corruption Wakey #sc…,FALSE,0,NA,2021-12-06 4:05:12,FALSE,NA,1467706664669388801,NA,"<a href=""https://missionimproxyble.com"" rel=""nofollow"">My1stNewApp</a>",JFSebastian146,3,TRUE,FALSE,NA,NA
RT @jonathan4212: Mayor covers up her role in permitting (directing?) police violence against #BlackLivesMatter protesters but sure let’s r…,FALSE,0,NA,2021-12-06 4:05:07,FALSE,NA,1467706646163902471,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",JoeyWieser,27,TRUE,FALSE,NA,NA
"RT @JCTheResistance: So @GovCox One student is dead because of harassment in this school district. 

Another Black student suspended for st…",FALSE,0,NA,2021-12-06 4:04:36,FALSE,NA,1467706513816887298,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",tired_in_texas,124,TRUE,FALSE,NA,NA
